prompt,prefix,suffix
"A muscular woman stretching under the blue sky, Japanese text “寒いけど元気！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man bowing respectfully, Japanese text “あけおめ！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman hugging a Shishi-mai lion head, Japanese text “おめでたい！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man flexing beside a rising sun, Japanese text “新しい一年スタート！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman doing squats in a kimono, Japanese text “凍えるけど負けない！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man and woman jumping together with smiles, Japanese text “笑う門には筋肉来る！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man throwing confetti, Japanese text “新年お祝い！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman sipping hot tea, Japanese text “ほっとひと息”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man holding a daruma doll, Japanese text “目標達成！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman showing her arm and laughing, Japanese text “筋肉は裏切らない！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man with a towel on his shoulders, Japanese text “初トレ完了！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman playing hanetsuki, Japanese text “勝負よ！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man doing a front pose under morning light, Japanese text “いい年にしよう！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman with a red hair ribbon smiling, Japanese text “おめでとう！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man surrounded by snowflakes, Japanese text “寒いけど最高！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman holding a steaming mug, Japanese text “ぬくぬく〜”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man and woman clinking protein shakes, Japanese text “新年プロテイン乾杯！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man wearing haori jacket posing proudly, Japanese text “迎春！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman looking at the sky with hope, Japanese text “がんばろう！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man doing muscle pose beside kadomatsu, Japanese text “筋力充電中！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman smiling and holding a small bell, Japanese text “福来い！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man exhaling white breath, Japanese text “寒すぎ！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman stretching both arms upward, Japanese text “気持ちいい朝！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man meditating calmly, Japanese text “心も筋肉も整える”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman laughing with her eyes closed, Japanese text “今年もよろしくね！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man bowing with both hands forward, Japanese text “感謝！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman brushing snow from her shoulders, Japanese text “新年から全力！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
A muscular man holding a banner that says “おめでとう！”,"Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman wearing a kimono with snow patterns, Japanese text “冬のごあいさつ”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man flexing beside sunrise rays, Japanese text “スタートダッシュ！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman sharing hot sweet potatoes, Japanese text “あたたまる〜！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man lifting a small kadomatsu, Japanese text “筋肉門松！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman waving goodbye, Japanese text “またね！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man and woman looking at each other laughing, Japanese text “今年も一緒にがんばろう！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man stretching one arm toward the sky, Japanese text “前向きにいこう！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman praying with hands together, Japanese text “健康第一！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man saluting with a big smile, Japanese text “出発！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman smiling under sunlight, Japanese text “しあわせな一年を！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular man sitting cross-legged relaxed, Japanese text “ゆっくりいこう”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
