prompt,prefix,suffix,title
" joyful bright smile, sparkles in background, red kimono, text color white, text""最高""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" cute subtle smile, musical note vibe, red kimono, text color white, text""♪""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" confident gesture with soft grin, red kimono, text color white, text""GOOD""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" excited happy smile with slight jump energy, red kimono, text color white, text""わーい""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" sparkles around her, eyes full of anticipation, red kimono, text color white, text""わくわく""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" waving softly with warm expression, red kimono, text color white, text""いってらっしゃい気を付けてね""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" welcoming smile, warm soft lighting, red kimono, text color white, text""おかえりなさい""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" casual relaxed smile, slightly tousled hair, red kimono, text color white, text""ただいまー""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" winter scene, snowflakes around her, red kimono, worried eyes, text color white, text""大雪に気を付けて""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" blowing warm breath, hands near face, red kimono, text color white, text""寒いですねー""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" determined expression against cold wind, red kimono, text color white, text""寒いけどがんばろー""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" shocked cold face, snow blowing hard, red kimono, text color white, text""激寒！！""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" gentle worried expression, reaching hand forward, red kimono, text color white, text""無理しないでね""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" holding warm cup close to face, soft glow, red kimono, text color white, text""暖かくして過ごしてね""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" steaming hot pot in background, soft smile, red kimono, text color white, text""温かいものを食べよう""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" slightly worried expression, holding mask in hand, red kimono, text color white, text""インフルエンザ流行ってるので気を付けてね""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" serious but gentle eyes, hand on chest, red kimono, text color white, text""体調管理最優先で""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" Christmas lights bokeh, warm smile, red kimono, text color white, text""素敵なクリスマスを""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" joyful holiday sparkle, holding small wreath, red kimono, text color white, text""MerryChristmas""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" playful smile holding empty gift box, red kimono, text color white, text""プレゼントお待ちしてます""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" grateful warm smile holding present, red kimono, text color white, text""プレゼントありがとう""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" holiday night scene, small lanterns glowing, red kimono, text color white, text""よいクリスマスと年末年始を""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" hair tied with bandanna for cleaning, cheerful chaos, red kimono, text color white, text""なんだかバタバタ忙しいね（大掃除）""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" soft nostalgic smile, gentle bow, red kimono, text color white, text""今年もお世話になりました""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" calm composed smile, evening lights, red kimono, text color white, text""よいお年をお過ごしください。""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" big bright new year smile, red kimono, text color white, text""あけましておめでとう""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" warm joyful nod, red kimono, text color white, text""今年もよろしく""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
