prompt,prefix,suffix,title,done
"A person leaning back heavily on a chair, rubbing their full belly, content sigh. Text: 満腹.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.97 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"Hands cupping a hot soba bowl, cheeks flushed pink from the warmth. Text: あったまる.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.98 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A frustrated character pointing a finger at a slow-moving clock. Text: あと何分？.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.99 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A delivery bag with soba packaging placed quickly on a doorway step. Text: 出前で済ます.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.100 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A smiling person proudly holding up a perfect handmade soba bowl. Text: 手作りだよ！.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.101 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A tired person slumped over a laptop, yearning glance at a nearby soba bowl. Text: まだ仕事中….","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.102 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A busy kitchen counter, various soba toppings scattered, frantic chopping action. Text: 年越し準備中.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.103 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A cozy shot of soba being eaten while watching a brightly lit TV screen, soft glow. Text: 紅白見ながら.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.104 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A close-up of hands slowly savoring a small cup of cloudy soba broth (sobayu). Text: 蕎麦湯うまい.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.105 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A shivering character wrapped in a blanket, desperately reaching for a warm soba bowl. Text: さむい.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.106 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A friendly face offering a spoon or extra bowl to the camera, inviting gesture. Text: おそば食べる？.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.107 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A quick shot of the clock showing 11:59:58, dramatic lighting. Text: カウントダウン.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.108 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A peaceful person finally relaxing and eating soba past midnight, quiet reflection. Text: 年越してから.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.109 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A polite character holding a menu open to the soba section, questioning look. Text: お蕎麦にする？.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.110 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A curious face peaking around a corner, asking a quiet question. Text: もう食べた？.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.111 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A satisfied character wiping their mouth with a napkin, clean empty bowl. Text: ごちそうさま！.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.112 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A playful, impatient foot tapping on the floor, waiting for food. Text: まだ？.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.113 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"Two bowls of soba touching lightly, a shared moment, inviting eye contact. Text: 一緒に食べる？.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.114 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"Multiple hands reaching into a communal soba pot, lively atmosphere, warm light. Text: 家族で年越し.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.115 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A chef looking focused while stirring a large pot of boiling soba noodles. Text: 準備中.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.116 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A grateful character handing a small gift or hug to the cook. Text: 作ってくれてありがとう.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.117 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A dramatic close-up of an analog clock showing 9:00, slow anticipation. Text: あと3時間.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.118 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"Hands pressed together respectfully, eyes closed, before a soba bowl. Text: いただきます.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.119 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A gentle pushing away gesture with the hand, a slight negative head shake. Text: いらない.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.120 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
An empty bowl being thrust aggressively forward for a refill. Text: おかわり！.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.121 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A character dramatically collapsing onto the table next to a half-eaten meal. Text: もう無理.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.122 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A glistening, golden shrimp tempura being placed precisely onto the noodles. Text: 海老天のせ.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.123 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A soba bowl prominently featuring a large, soft piece of fried tofu (kitsune). Text: きつね派です.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.124 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A large, crispy vegetable fritter (Kakiage) dominating the soba bowl. Text: かき揚げ大好き.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.125 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A close-up of a shower of thinly sliced green onions falling onto the soba. Text: ネギ多めで.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.126 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A character looking out at falling snow, holding a soba bowl, melancholic feeling. Text: しみじみ.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.127 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A beautifully traditional soba meal setting, focus on clean lines and lacquerware. Text: 日本の心.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.128 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"Cold soba dipped elegantly into a small, delicate sauce cup, subtle movement. Text: 風流だね.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.129 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A triumphant character holding the soba bowl high above their head like a trophy. Text: 優勝！.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.130 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A nostalgic, grainy shot of two hands holding soba bowls under soft, warm light. Text: エモい.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.131 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
Two characters nodding their heads vigorously in agreement across the table. Text: それな！.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.132 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A calm gesture of closing the door, looking back with a gentle smile. Text: また来年.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.133 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A sincere, deep bow of thanks to a person or the universe. Text: 今年も感謝.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.134 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A visual split screen: one half hot soba, one half cold soba (zaru soba). Text: 温かいの？冷たいの？.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.135 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"Two people clinking their soba bowls together in a friendly, hopeful toast. Text: 来年もよろしく.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.136 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A highly detailed shot of a smiling grandmother in a cozy living room. The action is raising a large piece of mochi with chopsticks triumphantly, focusing on her determined expression. Text: 餅食うぞ！.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.137 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a concerned grandfather at the dining table. The action is pointing a finger seriously at a piece of mochi, focusing on the careful warning gesture. Text: のどに注意！.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.138 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an elderly person blowing gently on a piece of hot, freshly grilled mochi. The action is careful cooling, focusing on the steam rising. Text: あつあつ.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.139 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an old woman happily savoring a bowl of ozoni (mochi soup). The action is quiet enjoyment, focusing on the steam and traditional bowl. Text: お雑煮最高.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.140 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a grandfather enthusiastically mixing kinako (soybean flour) over a freshly pounded mochi. The action is energetic preparation, focusing on the yellow powder. Text: きなこは正義.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.141 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an elderly person reaching quickly for another piece of mochi with an insatiable look. The action is continuous eating, focusing on the quick hand movement. Text: とまらん.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.142 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a kindly grandmother looking at the camera with gentle eyes, offering a small piece of mochi. The action is calm offering, focusing on the warm smile. Text: ゆっくり食べな.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.143 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a cheerful elderly person tapping their stomach and asking for more food. The action is optimistic demanding, focusing on the confident gesture. Text: まだいける.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.144 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a very long, stringy piece of mochi stretching between the bowl and the mouth. The action is dramatic stretching, focusing on the elasticity. Text: もちのび?る.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.145 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an elderly person eating mochi quickly before starting a big activity like cleaning or shopping. The action is fueling up, focusing on the focused munching. Text: 腹ごしらえ.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.146 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a grandfather with a guilty but full expression, pointing at an empty plate. The action is sheepish confession, focusing on the empty plate. Text: ごめん、もう食った.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.147 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an old person cautiously chewing a tiny piece of mochi with a worried face. The action is tentative chewing, focusing on the cautious mouth movement. Text: 歯が心配.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.148 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a wrinkled hand stirring mochi in a sweet red bean paste (anko). The action is traditional preparation, focusing on the loving hands. Text: おばあちゃんの味.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.149 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a crispy mochi wrapped in salty seaweed (isobeyaki). The action is happily eating a unique flavor, focusing on the green seaweed wrapper. Text: 磯辺焼き最高.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.150 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a person's hand slamming down dramatically next to a pile of mochi, signaling enough. The action is sudden halt, focusing on the strong hand gesture. Text: ストップ！.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.151 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a lively scene with elderly people pounding mochi rice in a large mortar. The action is rhythmic pounding, focusing on the teamwork. Text: お餅つき.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.152 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a bottle of soy sauce dripping a dark liquid onto a piece of plain mochi. The action is precise seasoning, focusing on the liquid drop. Text: 醤油をかける.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.153 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an elderly person holding a mochi in one hand and a small envelope in the other, winking. The action is a playful exchange, focusing on the eye contact. Text: お年玉と交換？.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.154 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a grandfather shrugging dismissively while taking a huge bite of mochi. The action is ignoring guilt, focusing on the carefree attitude. Text: ダイエットは明日.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.155 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an elderly person looking confused after being tricked or surprised, holding a mochi. The action is puzzled expression, focusing on the wide eyes. Text: きつねにつままれた.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.156 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an elderly person flexing their arm muscles after eating a piece of mochi, powerful expression. The action is showing strength, focusing on the bicep. Text: 餅は力.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.157 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a wary elderly person looking around nervously while chewing mochi. The action is cautious eating, focusing on the darting eyes. Text: 誰か監視して.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.158 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a slightly burnt, puffed-up mochi that is black on the edges. The action is a small cooking failure, focusing on the charcoal color. Text: 焼きすぎた.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.159 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of several elderly people gathered around a table with many different mochi dishes. The action is cheerful gathering, focusing on the variety of toppings. Text: お餅パーティ.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.160 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an elderly man with an authoritative look, directing others on how to cook mochi. The action is strict supervision, focusing on his commanding pose. Text: お餅奉行.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.161 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of a piece of mochi being stretched extremely far horizontally, symbolizing future growth. The action is maximum stretch, focusing on the distance. Text: のびしろ！.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.162 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
"A highly detailed shot of an elderly person determinedly trying to pull apart a very sticky piece of mochi. The action is stubborn effort, focusing on the sticky hands. Text: ねばるぞ.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.163 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",もちｘ高齢者,
