prompt,prefix,suffix
"Boy with snowflakes on hair, Japanese text “こごえるけど、美しい瞬間”",,
"Girl sitting quietly, Japanese text “こごえる時間も、好きになれた”",,
"Boy gazing at horizon, Japanese text “こごえる朝焼け、希望の色”",,
"Girl smiling to herself, Japanese text “こごえる世界で、ひとりほっと”",,
"Boy exhaling deeply, Japanese text “こごえる息、今日もがんばる”",,
"Woman holding a paper cup with steam, Japanese text “こごえる朝、ホットコーヒーが味方”","Ultra-realistic winter photo scene in Japan, captured with cinematic natural lighting and soft focus.
Cold air visible, breath white, skin slightly flushed from chill.
Scene expresses emotional warmth amid freezing air — scarves, coats, steam from mugs, frosty glass, or softly falling snow.
Soft bokeh, HDR tone, cinematic lighting (backlit or side light).
Square composition (1:1), focus on subtle emotions or cozy details.

#","

Warm tone balance (light beige, silver-blue, or golden hour).
Shallow depth of field, soft natural light from morning or evening sun.
If Japanese text appears, use delicate and minimal handwritten style including “こごえる”.
No harsh shadows — everything bright yet cold, with clear details and soft atmosphere."
"Man blowing white breath in the cold, Japanese text “こごえる息が、今日の始まり”",,
"Woman standing at the bus stop, Japanese text “こごえる指先、スマホが冷たい”",,
"Man holding scarf to face, Japanese text “こごえる風、顔にしみる”",,
"Woman gazing out frosted window, Japanese text “こごえる窓越しの景色”",,
"Man with snow on shoulders, Japanese text “こごえる帰り道”",,
"Woman sitting on station bench, Japanese text “こごえる時間も悪くない”",,
"Man drinking coffee outdoors, Japanese text “こごえるけど、心はあったかい”",,
"Woman rubbing hands near heater, Japanese text “こごえる手、やっとぬくもり”",,
"Man walking through snow at night, Japanese text “こごえる街灯の下で”",,
"Woman breathing on cold glass, Japanese text “こごえる息が曇らせる夜”",,
"Man wearing gloves, Japanese text “こごえる朝のルーティン”",,
"Woman holding shopping bag, Japanese text “こごえる帰り道の幸せ”",,
"Man looking up at sky, Japanese text “こごえる青空、まぶしい”",,
"Woman adjusting muffler, Japanese text “こごえる風、まだ強いね”",,
"Man with red nose, Japanese text “こごえる頬が笑ってる”",,
"Woman sipping soup, Japanese text “こごえる夜にぴったり”",,
"Man holding hot can coffee, Japanese text “こごえる指先に救い”",,
"Woman standing in sunlight, Japanese text “こごえる朝に希望を”",,
"Man closing eyes, Japanese text “こごえる静けさの中で”",,
"Woman petting a stray cat, Japanese text “こごえるけど、優しい時間”",,
"Man standing by vending machine, Japanese text “こごえる夜、あたたかい一缶”",,
"Woman sitting by the window, Japanese text “こごえる午後の光”",,
"Man with hands in pockets, Japanese text “こごえる手を隠して歩く”",,
"Woman laughing with breath visible, Japanese text “こごえる空気に笑い声”",,
"Man leaning on railing, Japanese text “こごえる夜景を眺めて”",,
"Woman brushing snow off her coat, Japanese text “こごえるけど、気持ちいい”",,
"Man stretching arms outdoors, Japanese text “こごえる身体、目を覚ます”",,
"Woman holding umbrella in snow, Japanese text “こごえる雪、降り続けてる”",,
"Man sitting near window light, Japanese text “こごえる空気、優しい光”",,
"Woman walking dog, Japanese text “こごえる朝散歩”",,
"Man with visible white breath, Japanese text “こごえる息の音”",,
"Woman wearing knit hat, Japanese text “こごえる風に負けない”",,
"Man standing by frozen pond, Japanese text “こごえる水面、鏡みたい”",,
"Woman holding candle, Japanese text “こごえる夜を灯す光”",,
"Man sitting alone at café, Japanese text “こごえる心、あたためたい”",,
"Woman wrapping scarf tighter, Japanese text “こごえる首元、あと少し”",,
"Man waiting for train, Japanese text “こごえるホームの風”",,
"Woman smiling at sunlight, Japanese text “こごえるけど、幸せ”",,
"Man brushing snow off glasses, Japanese text “こごえる視界”",,
"Woman with steaming mug, Japanese text “こごえる日、ほっとする”",,
"Man exhaling deeply, Japanese text “こごえる朝、深呼吸”",,
"Woman standing under streetlight, Japanese text “こごえる光がきれい”",,
"Man walking with hands deep in pockets, Japanese text “こごえる夜道を一歩ずつ”",,
"Woman taking photo of snow, Japanese text “こごえる景色、撮りたくなる”",,
"Man leaning on wall, Japanese text “こごえる風が通り抜ける”",,
"Woman wearing earmuffs, Japanese text “こごえるけど可愛い”",,
"Man drinking from thermos, Japanese text “こごえる朝の相棒”",,
"Woman blowing warm air into hands, Japanese text “こごえるけど、頑張る”",,
"Man smiling faintly, Japanese text “こごえる中でも笑えた”",,
"Woman looking down with soft smile, Japanese text “こごえるけど、心は春”",,
