No,シリーズ名（被写体 × 衣装/状況）,コンセプト・見どころ,done
1,背後で大爆発おじさん,何でもない日常（お茶を飲む等）の背後で、ハリウッド級の大爆発が起きている。,
2,千手観音ビジネスマン,腕が何本もあり、電話・PC・お茶・計算を同時にこなしながら「余裕です」。,
3,無重力オフィスおじさん,書類も体もフワフワ浮いた状態で、必死に「了解」のハンコを押そうとする。,
4,ルネサンス画風の現代人,17世紀の油絵のようなタッチで、深刻な顔をして「スタンプ送ります」。,
5,マッチョすぎる赤ちゃん,顔はおじさんだが体はムキムキの赤ちゃんで、おしゃぶりを咥えて「お疲れ」。,
6,ピクセル顔×実写ボディ,顔だけが粗いドット絵で、体は超リアルなサラリーマン。「バグりました」。,1
7,古代彫刻のハワイアン,ギリシャ彫刻の石像がアロハシャツを着て、サングラスで「あけおめ」。,
8,ブロッコリーマン（野菜化）,全身がブロッコリーやナスになったおじさんが、真顔で「健康第一」。,
9,強風200%おじさん,凄まじい向かい風に顔が歪み、ネクタイが真横に飛びながら「向かってます」。,
10,宇宙人に連れ去られ中,UFOの光に吸い込まれながら、冷静に「お先に失礼します」。,
11,段ボールアーマー騎士,段ボールで作った安っぽい鎧を着て、壮大な戦場に立つ「ご安全に」。,
12,ラーメンの具材おじさん,どんぶりの中で、チャーシューの横で温泉に浸かるように「お疲れ様」。,
13,サイバーパンク落ち武者,ネオンが光るサイバーな街で、チョンマゲに基盤が埋まった男が「接続完了」。,
14,巨大すぎるおじさん,街を見下ろす巨人が、ビルを指でつまんで「これ、やっといて」。,
15,透明人間（スーツのみ）,中身がいないスーツと帽子だけが動いて、コーヒーを飲もうとする「休憩」。,
16,ヘビ人間サラリーマン,2025年巳年ネタ。首が異常に長く、トグロを巻いてデスクに座る「おはよ」。,
17,キラキラ少女漫画おじさん,劇画調のおじさんの目が、突然少女漫画のように星が飛んで「お願い♡」。,
18,マトリックス風回避おじさん,飛んでくる大量の「未読」や「締め切り」を、超人的な反り返りで避ける「無理」。,
19,全自動洗濯おじさん,洗濯機の中で回されながら、目が回った状態で「絶好調です」。,
20,焚き火と一体化おじさん,キャンプの火を囲みすぎて、自分からも少し火が出ている「燃えてます」。,
No,シリーズ名,シュール・バズりポイント（形態・ポーズ）,
2,ニンジンに釣られるおじさん,目の前に吊るされたニンジンを追いかけ続け、決して追いつけない。,1
3,人間しめ飾り（軟体）,体を極限まで折り曲げ、自らしめ飾りの形状になって玄関に立つ。,
4,逆立ち正月（重力無視）,すべてのアクション（挨拶、飲食、掃除）を逆立ちの状態で行う。,
5,コタツと融合した男,下半身が完全にコタツと一体化し、そのまま移動する「コタツムリ」。,1
6,洗濯バサミで干される男,寒空の下、洗濯物と一緒に耳や服をクリップで干されている。,
7,人間門松（直立不動）,竹になりきって緑のタイツで微動だにせず、玄関先に立っている。,
8,お年玉ガード（丸まり）,支出を恐れ、アルマジロのように完全に丸まって防御を固める。,1
9,午（ウマ）になりきった四足おじさん,全身茶色タイツで、馬のようなステップ（ギャロップ）で移動。,1
10,ドアップ顔芸・正月,魚眼レンズで覗いたような、異常に歪んだ顔のアップだけで挨拶。,1
11,透明人間（服だけ浮遊）,中身がいないスーツが、餅を食べたり羽子板をしたりする。,1
12,マトリョーシカおじさん,おじさんの口から、一回り小さい同じおじさんが出てくる。,1
13,ダルマ化おじさん,手足が完全に胴体に収納され、丸いダルマの形状で転がる。,1
14,強風に耐えすぎる男,凄まじい風で顔面が波打ち、ネクタイが真横に固定されている。,1
15,壁歩き大掃除,忍者ではなく、ただのサラリーマンが壁や天井を歩いて掃除。,1
16,餅に挟まった男,巨大な鏡餅の「餅と餅の間」に挟まり、潰されながら挨拶。,1
17,自力・人間凧揚げ,自分が凧になり、空中で紐に引かれながら必死にポーズをとる。,1
18,おみくじ結ばれ男,自分が「凶」の紙のように、神社の紐にぐるぐる巻きにされる。,1
19,二足歩行を忘れた午年男,どんな場面でも頑なに四足歩行を崩さない、意識高い午年。,
20,段ボール馬アーマー,安っぽい段ボールで作った自作の馬スーツで、堂々と振る舞う。,
21,箱入りおじさん（御節編）,重箱の中に、伊達巻や黒豆と一緒に窮屈そうに詰まっている。,
22,影絵ポーズおじさん,自分の体全体を使って「午」や「寿」の文字を必死に形作る。,
23,羽子板の羽根になりきり,宙に浮き、今まさに打ち返されようとしている瞬間の顔。,
24,100倍ズームの「あけおめ」,文字が巨大すぎて、おじさんの顔が端っこに追いやられている。,
25,除夜の鐘・人間鐘突き,自分が突く棒（撞木）になりきって、鐘に向かって飛んでいく。,
26,半分こおじさん（左右非対称）,体の右半分が馬、左半分がスーツという縦割りのケンタウロス。,
27,福袋の「中身」おじさん,袋から半分だけ顔を出し、売れ残ったような悲哀を見せる。,
28,氷結リーマン（カチコチ）,挨拶のポーズのまま完全に凍りつき、氷の塊になっている。,
29,仕事始めの抜け殻,体はデスクに座っているが、魂（半透明）が窓から逃げている。,
30,煩悩108個を背負う男,巨大な「108」という数字の塊を背負って、必死に歩く。,
No,シリーズ名,コンセプト・バズりポイント,
1,水彩ゆるかわ干支（巳・午）,2025/2026年を意識した、淡い水彩タッチの優しい動物たち。,1
2,もこもこルームウェア女子,ジェラピケ風の可愛い部屋着で、お家でダラダラする幸福感。,1
3,お正月和スイーツ・カフェ,御節やお餅を、今風のアフタヌーンティーやカフェ風にアレンジ。,1
4,レトロモダンな着物女子,伝統的だけど配色が今っぽい。大正ロマン風のオシャレな装い。,1
5,北欧風・シンプル冬デザイン,落ち着いた色味と幾何学模様。インテリアに馴染むような大人スタンプ。,
6,ミニチュア妖精の重箱生活,小さな女の子が、伊達巻の布団で寝たり黒豆のクッションに座る。,
7,大人可愛いフラワーフレーム,季節の花々をあしらった、目上の人にも送れる丁寧な挨拶。,
8,冬の丁寧な暮らし（手書き風）,掃除や料理、お花を飾るシーンを、温かいペン画で表現。,
9,宝石とリボンのキラキラ冬,エフェクトではなく、絵として宝石やレースを緻密に描き込む。,1
10,シロクマとペンギンの冬日常,王道の冬キャラ。マフラーをシェアしたり、お鍋を囲む癒やし。,1
11,お正月コスメ＆香水瓶,口紅や香水瓶にお正月のモチーフを忍ばせた、美容好き向け。,
12,星座と夜空の静かな年越し,幻想的な夜の風景。落ち着いたトーンで「良いお年を」。,
13,ビタミンフルーツと健康第一,艶やかなイチゴやミカンがメイン。冬の体調管理を可愛く促す。,
14,アンティーク文房具と手紙,万年筆や封筒など、手書きの温もりを感じさせるシリーズ。,
15,ティーカップの中の巳年ヘビ,2025年。リボンのように可愛く丸まったパステル色のヘビ。,
16,ふわふわパン動物の朝挨拶,メロンパンやクロワッサンの形をした動物。朝の挨拶に特化。,
17,冬のコテージ・薪ストーブ,憧れの冬の暮らし。火を見つめる静かな時間や読書シーン。,
18,猫とコタツのしあわせ温度,飼い主の膝で丸まる猫。冬特有の「離れがたい」距離感。,
19,ボタニカル・ウィンター,冬の植物をリアルかつ繊細に描いた、大人の女性向けデザイン。,
20,自分へのご褒美・お正月,スパ、スイーツ、自分へのギフト。1年の疲れを癒やす自分愛。,
21,パステルカラーの縁起物,ダルマや招き猫を、ピンクやミントグリーンで可愛く。,
22,お正月準備のワクワク女子,買い出し、飾り付け。イベント前の高揚感を描いたシリーズ。,
23,冬の星座とシロクマ親子,神秘的な夜空の下、寄り添う親子の温かいイラスト。,
24,キャンドルと癒やしの夜挨拶,キャンドルの灯り越しに見る、静かな「おやすみ」。,
25,アフタヌーンティー・干支（午）,2026年。ティーカップに収まる小さな仔馬とスイーツ。,
26,大人なモノトーン・ウィンター,黒とグレーだけで表現した、モードでカッコいい冬挨拶。,
27,スノードームの中の世界,幻想的なスノードームの中に、お正月シーンを閉じ込める。,
28,心に寄り添うメッセージ,綺麗な背景に「いつもありがとう」など、素直な気持ち。,
29,雪の結晶とパールの世界,雪の結晶にパールやビジューを添えた、アクセサリー感覚。,
30,一富士二鷹三茄子の女子旅,縁起物をモチーフにした、可愛い女の子の旅の1コマ。,
